open+close transaction,open+read+close transaction,open+readx2+close transaction
0.000168,0.000213,0.000241
0.000169,0.000215,0.000243
0.000170,0.000215,0.000243
0.000170,0.000215,0.000243
0.000170,0.000215,0.000243
0.000170,0.000215,0.000243
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000170,0.000216,0.000244
0.000171,0.000216,0.000244
0.000171,0.000216,0.000244
0.000171,0.000216,0.000244
0.000171,0.000216,0.000244
0.000171,0.000216,0.000244
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000245
0.000171,0.000217,0.000246
0.000171,0.000217,0.000246
0.000171,0.000217,0.000246
0.000171,0.000217,0.000246
0.000171,0.000217,0.000246
0.000171,0.000218,0.000246
0.000171,0.000218,0.000246
0.000171,0.000218,0.000246
0.000171,0.000218,0.000246
0.000171,0.000218,0.000246
0.000171,0.000218,0.000246
0.000171,0.000218,0.000246
0.000171,0.000218,0.000246
0.000171,0.000218,0.000246
0.000171,0.000218,0.000246
0.000171,0.000218,0.000246
0.000171,0.000218,0.000246
0.000172,0.000218,0.000246
0.000172,0.000218,0.000246
